DOLLAREL,BEDROOMS,TVCOLOR,NHSLDMEM,TOTSQFT_EN,BA_climate,SWIMPOOL_,INCOME,TYPEHUQ_,DISHWASH,CWASHER,ELWARM,ELCOOL,ELWATER,REGIONC,TELLWORK
1955.06,4,3,2,2100,Mixed-Dry,0,2,1,1,1,0,1,0,WEST,0
713.27,1,1,1,590,Mixed-Humid,0,1,0,1,1,1,1,0,SOUTH,0
334.51,1,1,1,900,Mixed-Dry,0,1,0,1,0,0,1,0,WEST,0
1424.86,2,2,2,2100,Mixed-Humid,0,1,1,1,1,1,1,0,SOUTH,0
1087,1,2,2,800,Mixed-Humid,0,4,0,1,0,0,1,0,NORTHEAST,1
1895.66,4,2,4,4520,Hot-Humid,0,3,1,1,1,0,1,0,SOUTH,1
1418.04,3,3,6,2100,Mixed-Humid,0,1,1,1,1,1,1,0,SOUTH,0
1237.05,2,3,2,900,Mixed-Humid,0,1,0,1,1,1,0,1,SOUTH,1
537.68,1,1,1,750,Mixed-Humid,0,2,0,1,1,1,1,1,SOUTH,1
625.41,2,1,1,760,Hot-Dry,0,1,0,1,0,1,1,1,WEST,0
1136.61,5,5,5,1540,Hot-Dry,0,1,1,1,1,0,1,0,SOUTH,0
1004.2,4,3,2,2000,Hot-Humid,0,2,1,1,1,0,1,0,SOUTH,0
644.85,4,3,1,1450,Very-Cold,0,1,1,0,1,1,1,1,MIDWEST,0
842.06,3,1,1,1650,Cold,0,1,1,1,1,0,1,0,NORTHEAST,0
2162.73,3,2,4,1350,Hot-Dry,1,1,0,1,1,1,1,1,WEST,1
1988.48,3,2,2,1910,Cold,0,4,1,1,1,0,1,0,NORTHEAST,0
622.02,3,2,2,2650,Mixed-Dry,0,4,1,1,1,0,1,0,WEST,0
1257.34,2,3,3,1980,Mixed-Humid,0,1,0,1,1,0,1,1,SOUTH,1
1549.78,3,4,3,1300,Hot-Humid,0,2,1,0,1,1,1,1,SOUTH,0
377.64,2,0,1,1850,Cold,0,1,0,0,1,0,1,0,MIDWEST,0
910.09,2,3,3,1130,Cold,0,3,0,1,0,1,1,1,MIDWEST,1
1730.06,4,4,2,2730,Cold,0,4,1,1,1,0,1,0,NORTHEAST,1
1142.86,3,1,2,2640,Cold,0,2,1,1,1,1,1,1,MIDWEST,0
664.17,2,2,1,1430,Cold,0,1,1,0,1,1,1,0,MIDWEST,0
2348.58,4,3,5,2440,Cold,1,3,1,1,1,1,1,1,NORTHEAST,1
1307.94,5,6,4,3000,Cold,0,4,1,1,1,1,1,0,MIDWEST,1
1747.09,2,3,2,1810,Hot-Humid,0,1,1,1,1,1,1,1,SOUTH,0
1442.29,4,3,2,2500,Cold,0,1,1,1,1,0,1,1,MIDWEST,1
1347.02,3,3,2,2850,Cold,0,3,1,1,1,0,1,0,NORTHEAST,0
1036.65,3,3,2,1980,Cold,0,2,1,1,1,1,1,0,MIDWEST,0
3497.17,5,2,4,5450,Hot-Dry,1,2,1,1,1,0,1,1,WEST,1
1523.05,3,2,2,2750,Cold,0,4,1,1,1,0,1,0,MIDWEST,0
437.54,4,2,3,2700,Cold,0,1,1,1,1,1,0,0,NORTHEAST,0
913.75,3,1,2,1600,Mixed-Humid,0,3,1,1,1,0,1,1,SOUTH,1
624.81,2,3,2,2250,Cold,0,2,0,1,1,1,1,0,MIDWEST,0
2579.28,5,3,4,3300,Mixed-Humid,0,4,1,1,1,1,1,0,SOUTH,1
364.17,3,1,1,1700,Cold,0,1,0,1,1,1,1,0,WEST,0
